hour,period,rate_per_kWh,original_kWh,shifted_kWh,original_cost,optimized_cost
0,Off-Peak,4.5,11490.31,29674.161999999997,51706.395,133533.729
1,Off-Peak,4.5,8865.82,27049.672,39896.19,121723.52399999999
2,Off-Peak,4.5,6465.45,24649.302,29094.524999999998,110921.859
3,Off-Peak,4.5,6362.74,24546.591999999997,28632.329999999998,110459.66399999999
4,Off-Peak,4.5,6291.78,24475.631999999998,28313.01,110140.34399999998
5,Off-Peak,4.5,6198.5,24382.352,27893.25,109720.584
6,Off-Peak,4.5,6166.61,24350.462,27749.745,109577.079
7,Standard,7.0,6573.03,6573.03,46011.21,46011.21
8,Standard,7.0,55049.0,55049.0,385343.0,385343.0
9,Peak,10.5,85485.53,51291.318,897598.065,538558.839
10,Peak,10.5,81577.11,48946.265999999996,856559.655,513935.79299999995
11,Peak,10.5,83362.29,50017.373999999996,875304.0449999999,525182.4269999999
12,Standard,7.0,26953.06,26953.06,188671.42,188671.42
13,Standard,7.0,56968.47,56968.47,398779.29000000004,398779.29000000004
14,Standard,7.0,81986.68,81986.68,573906.76,573906.76
15,Standard,7.0,81230.81,81230.81,568615.6699999999,568615.6699999999
16,Standard,7.0,81467.39,81467.39,570271.73,570271.73
17,Standard,7.0,63996.32,63996.32,447974.24,447974.24
18,Peak,10.5,48210.56,28926.336,506210.88,303726.528
19,Peak,10.5,55784.43,33470.657999999996,585736.515,351441.909
20,Peak,10.5,54716.75,32830.049999999996,574525.875,344715.52499999997
21,Standard,7.0,20114.95,20114.95,140804.65,140804.65
22,Off-Peak,4.5,12642.02,30825.872,56889.090000000004,138716.424
23,Off-Peak,4.5,11677.1,29860.951999999997,52546.950000000004,134374.28399999999
