iter	Passed	Remaining
0	22	6673
1	27	4101
2	36	3598
3	53	3970
4	61	3657
5	68	3334
6	70	2931
7	75	2754
8	80	2606
9	86	2503
10	88	2335
11	95	2287
12	100	2213
13	104	2139
14	110	2091
15	115	2047
16	120	1998
17	124	1956
18	130	1922
19	134	1887
20	140	1873
21	148	1870
22	151	1825
23	156	1801
24	161	1776
25	166	1752
26	171	1732
27	176	1716
28	182	1704
29	187	1686
30	192	1670
31	197	1652
32	202	1634
33	207	1621
34	212	1607
35	218	1598
36	222	1584
37	227	1571
38	232	1556
39	237	1543
40	240	1516
41	245	1507
42	250	1499
43	255	1488
44	260	1478
45	265	1467
46	270	1458
47	275	1448
48	280	1437
49	285	1427
50	290	1418
51	295	1410
52	300	1399
53	305	1390
54	310	1383
55	315	1374
56	320	1364
57	324	1354
58	329	1346
59	334	1337
60	339	1329
61	347	1333
62	353	1330
63	358	1322
64	363	1313
65	368	1304
66	372	1295
67	377	1288
68	382	1280
69	388	1274
70	393	1269
71	398	1261
72	403	1255
73	408	1249
74	413	1241
75	419	1236
76	424	1230
77	429	1223
78	435	1217
79	440	1211
80	445	1203
81	450	1198
82	456	1192
83	467	1202
84	473	1198
85	479	1192
86	484	1186
87	490	1182
88	496	1177
89	503	1173
90	509	1170
91	514	1163
92	520	1157
93	525	1152
94	531	1146
95	537	1141
96	542	1136
97	548	1129
98	553	1123
99	559	1118
100	563	1110
101	569	1104
102	574	1099
103	579	1092
104	585	1087
105	590	1081
106	595	1074
107	601	1069
108	608	1065
109	613	1059
110	618	1053
111	624	1048
112	629	1042
113	635	1036
114	640	1030
115	646	1025
116	651	1019
117	657	1013
118	662	1008
119	668	1002
120	673	995
121	678	989
122	683	983
123	688	977
124	693	971
125	698	965
126	704	959
127	708	952
128	713	945
129	718	939
130	723	933
131	729	928
132	734	922
133	739	916
134	745	911
135	750	905
136	755	899
137	760	892
138	765	886
139	771	881
140	776	875
141	781	869
142	786	863
143	791	857
144	797	852
145	802	846
146	808	841
147	812	834
148	817	828
149	822	822
150	828	817
151	833	811
152	838	805
153	843	799
154	848	793
155	852	787
156	857	781
157	862	775
158	867	769
159	872	763
160	877	757
161	883	752
162	888	746
163	893	741
164	898	735
165	903	729
166	908	723
167	913	717
168	918	712
169	923	706
170	928	700
171	933	694
172	938	689
173	943	683
174	951	679
175	957	674
176	963	669
177	969	664
178	974	659
179	979	653
180	985	647
181	990	642
182	995	636
183	1000	630
184	1005	625
185	1010	619
186	1015	613
187	1021	608
188	1025	602
189	1030	596
190	1035	591
191	1041	585
192	1046	580
193	1051	574
194	1056	569
195	1061	563
196	1066	557
197	1072	552
198	1077	546
199	1082	541
200	1087	535
201	1092	529
202	1097	524
203	1102	518
204	1107	513
205	1112	507
206	1117	501
207	1122	496
208	1127	490
209	1132	485
210	1137	479
211	1142	474
212	1147	468
213	1153	463
214	1160	458
215	1166	453
216	1171	448
217	1177	442
218	1182	437
219	1187	431
220	1193	426
221	1198	421
222	1204	416
223	1210	410
224	1216	405
225	1221	399
226	1226	394
227	1234	389
228	1241	385
229	1250	380
230	1258	376
231	1264	370
232	1271	365
233	1276	360
234	1282	354
235	1288	349
236	1293	343
237	1299	338
238	1305	333
239	1311	327
240	1316	322
241	1321	316
242	1327	311
243	1333	306
244	1339	300
245	1345	295
246	1350	289
247	1357	284
248	1363	279
249	1369	273
250	1375	268
251	1381	263
252	1387	257
253	1392	252
254	1398	246
255	1404	241
256	1409	235
257	1414	230
258	1420	224
259	1425	219
260	1431	213
261	1436	208
262	1442	202
263	1447	197
264	1452	191
265	1457	186
266	1463	180
267	1468	175
268	1473	169
269	1478	164
270	1483	158
271	1488	153
272	1493	147
273	1498	142
274	1503	136
275	1509	131
276	1514	125
277	1519	120
278	1524	114
279	1529	109
280	1534	103
281	1539	98
282	1544	92
283	1549	87
284	1554	81
285	1559	76
286	1564	70
287	1570	65
288	1574	59
289	1580	54
290	1586	49
291	1591	43
292	1596	38
293	1603	32
294	1607	27
295	1612	21
296	1618	16
297	1623	10
298	1628	5
299	1633	0
